('Cycle: ', 328, 'Tile halt list', [1, 0, 0])
('Cycle: ', 329, 'Tile halt list', [1, 0, 0])
('Cycle: ', 330, 'Tile halt list', [1, 0, 0])
('Cycle: ', 331, 'Tile halt list', [1, 0, 0])
('Cycle: ', 332, 'Tile halt list', [1, 0, 0])
('Cycle: ', 333, 'Tile halt list', [1, 0, 0])
('Cycle: ', 334, 'Tile halt list', [1, 0, 0])
('Cycle: ', 335, 'Tile halt list', [1, 0, 0])
('Cycle: ', 336, 'Tile halt list', [1, 0, 0])
('Cycle: ', 337, 'Tile halt list', [1, 0, 0])
('Cycle: ', 338, 'Tile halt list', [1, 0, 0])
('Cycle: ', 339, 'Tile halt list', [1, 0, 0])
('Cycle: ', 340, 'Tile halt list', [1, 0, 0])
('Cycle: ', 341, 'Tile halt list', [1, 0, 0])
('Cycle: ', 342, 'Tile halt list', [1, 0, 0])
('Cycle: ', 343, 'Tile halt list', [1, 0, 0])
('Cycle: ', 344, 'Tile halt list', [1, 0, 0])
('Cycle: ', 345, 'Tile halt list', [1, 0, 0])
('Cycle: ', 346, 'Tile halt list', [1, 0, 0])
('Cycle: ', 347, 'Tile halt list', [1, 0, 0])
('Cycle: ', 348, 'Tile halt list', [1, 0, 0])
('Cycle: ', 349, 'Tile halt list', [1, 0, 0])
('Cycle: ', 350, 'Tile halt list', [1, 0, 0])
('Cycle: ', 351, 'Tile halt list', [1, 0, 0])
('Cycle: ', 352, 'Tile halt list', [1, 0, 0])
('Cycle: ', 353, 'Tile halt list', [1, 0, 0])
('Cycle: ', 354, 'Tile halt list', [1, 0, 0])
('Cycle: ', 355, 'Tile halt list', [1, 0, 0])
('Cycle: ', 356, 'Tile halt list', [1, 0, 0])
('Cycle: ', 357, 'Tile halt list', [1, 0, 0])
('Cycle: ', 358, 'Tile halt list', [1, 0, 0])
('Cycle: ', 359, 'Tile halt list', [1, 0, 0])
('Cycle: ', 360, 'Tile halt list', [1, 0, 0])
('Cycle: ', 361, 'Tile halt list', [1, 0, 0])
('Cycle: ', 362, 'Tile halt list', [1, 0, 0])
('Cycle: ', 363, 'Tile halt list', [1, 0, 0])
('Cycle: ', 364, 'Tile halt list', [1, 0, 0])
('Cycle: ', 365, 'Tile halt list', [1, 0, 0])
('Cycle: ', 366, 'Tile halt list', [1, 0, 0])
('Cycle: ', 367, 'Tile halt list', [1, 0, 0])
('Cycle: ', 368, 'Tile halt list', [1, 0, 0])
('Cycle: ', 369, 'Tile halt list', [1, 0, 0])
('Cycle: ', 370, 'Tile halt list', [1, 0, 0])
('Cycle: ', 371, 'Tile halt list', [1, 0, 0])
('Cycle: ', 372, 'Tile halt list', [1, 0, 0])
('Cycle: ', 373, 'Tile halt list', [1, 0, 0])
('Cycle: ', 374, 'Tile halt list', [1, 0, 0])
('Cycle: ', 375, 'Tile halt list', [1, 0, 0])
('Cycle: ', 376, 'Tile halt list', [1, 0, 0])
('Cycle: ', 377, 'Tile halt list', [1, 0, 0])
('Cycle: ', 378, 'Tile halt list', [1, 0, 0])
('Cycle: ', 379, 'Tile halt list', [1, 0, 0])
('Cycle: ', 380, 'Tile halt list', [1, 0, 0])
('Cycle: ', 381, 'Tile halt list', [1, 0, 0])
('Cycle: ', 382, 'Tile halt list', [1, 0, 0])
('Cycle: ', 383, 'Tile halt list', [1, 0, 0])
('Cycle: ', 384, 'Tile halt list', [1, 0, 0])
('Cycle: ', 385, 'Tile halt list', [1, 0, 0])
('Cycle: ', 386, 'Tile halt list', [1, 0, 0])
('Cycle: ', 387, 'Tile halt list', [1, 0, 0])
('Cycle: ', 388, 'Tile halt list', [1, 0, 0])
('Cycle: ', 389, 'Tile halt list', [1, 0, 0])
('Cycle: ', 390, 'Tile halt list', [1, 0, 0])
('Cycle: ', 391, 'Tile halt list', [1, 0, 0])
('Cycle: ', 392, 'Tile halt list', [1, 0, 0])
('Cycle: ', 393, 'Tile halt list', [1, 0, 0])
('Cycle: ', 394, 'Tile halt list', [1, 0, 0])
('Cycle: ', 395, 'Tile halt list', [1, 0, 0])
('Cycle: ', 396, 'Tile halt list', [1, 0, 0])
('Cycle: ', 397, 'Tile halt list', [1, 0, 0])
('Cycle: ', 398, 'Tile halt list', [1, 0, 0])
('Cycle: ', 399, 'Tile halt list', [1, 0, 0])
('Cycle: ', 400, 'Tile halt list', [1, 0, 0])
('Cycle: ', 401, 'Tile halt list', [1, 0, 0])
('Cycle: ', 402, 'Tile halt list', [1, 0, 0])
('Cycle: ', 403, 'Tile halt list', [1, 0, 0])
('Cycle: ', 404, 'Tile halt list', [1, 0, 0])
('Cycle: ', 405, 'Tile halt list', [1, 0, 0])
('Cycle: ', 406, 'Tile halt list', [1, 0, 0])
('Cycle: ', 407, 'Tile halt list', [1, 0, 0])
('Cycle: ', 408, 'Tile halt list', [1, 0, 0])
('Cycle: ', 409, 'Tile halt list', [1, 0, 0])
('Cycle: ', 410, 'Tile halt list', [1, 0, 0])
('Cycle: ', 411, 'Tile halt list', [1, 0, 0])
('Cycle: ', 412, 'Tile halt list', [1, 0, 0])
('Cycle: ', 413, 'Tile halt list', [1, 0, 0])
('Cycle: ', 414, 'Tile halt list', [1, 0, 0])
('Cycle: ', 415, 'Tile halt list', [1, 0, 0])
('Cycle: ', 416, 'Tile halt list', [1, 0, 0])
('Cycle: ', 417, 'Tile halt list', [1, 0, 0])
('Cycle: ', 418, 'Tile halt list', [1, 0, 0])
('Cycle: ', 419, 'Tile halt list', [1, 0, 0])
('Cycle: ', 420, 'Tile halt list', [1, 0, 0])
('Cycle: ', 421, 'Tile halt list', [1, 0, 0])
('Cycle: ', 422, 'Tile halt list', [1, 0, 0])
('Cycle: ', 423, 'Tile halt list', [1, 0, 0])
('Cycle: ', 424, 'Tile halt list', [1, 0, 0])
('Cycle: ', 425, 'Tile halt list', [1, 0, 0])
('Cycle: ', 426, 'Tile halt list', [1, 0, 0])
('Cycle: ', 427, 'Tile halt list', [1, 0, 0])
('Cycle: ', 428, 'Tile halt list', [1, 0, 0])
('Cycle: ', 429, 'Tile halt list', [1, 0, 0])
('Cycle: ', 430, 'Tile halt list', [1, 0, 0])
('Cycle: ', 431, 'Tile halt list', [1, 0, 0])
('Cycle: ', 432, 'Tile halt list', [1, 0, 0])
('Cycle: ', 433, 'Tile halt list', [1, 0, 0])
('Cycle: ', 434, 'Tile halt list', [1, 0, 0])
('Cycle: ', 435, 'Tile halt list', [1, 0, 0])
('Cycle: ', 436, 'Tile halt list', [1, 0, 0])
('Cycle: ', 437, 'Tile halt list', [1, 0, 0])
('Cycle: ', 438, 'Tile halt list', [1, 0, 0])
('Cycle: ', 439, 'Tile halt list', [1, 0, 0])
('Cycle: ', 440, 'Tile halt list', [1, 0, 0])
('Cycle: ', 441, 'Tile halt list', [1, 0, 0])
('Cycle: ', 442, 'Tile halt list', [1, 0, 0])
('Cycle: ', 443, 'Tile halt list', [1, 0, 0])
('Cycle: ', 444, 'Tile halt list', [1, 0, 0])
('Cycle: ', 445, 'Tile halt list', [1, 0, 0])
('Cycle: ', 446, 'Tile halt list', [1, 0, 0])
('Cycle: ', 447, 'Tile halt list', [1, 0, 0])
('Cycle: ', 448, 'Tile halt list', [1, 0, 0])
('Cycle: ', 449, 'Tile halt list', [1, 0, 0])
('Cycle: ', 450, 'Tile halt list', [1, 0, 0])
('Cycle: ', 451, 'Tile halt list', [1, 0, 0])
('Cycle: ', 452, 'Tile halt list', [1, 0, 0])
('Cycle: ', 453, 'Tile halt list', [1, 0, 0])
('Cycle: ', 454, 'Tile halt list', [1, 0, 0])
('Cycle: ', 455, 'Tile halt list', [1, 0, 0])
('Cycle: ', 456, 'Tile halt list', [1, 0, 0])
('Cycle: ', 457, 'Tile halt list', [1, 0, 0])
('Cycle: ', 458, 'Tile halt list', [1, 0, 0])
('Cycle: ', 459, 'Tile halt list', [1, 0, 0])
('Cycle: ', 460, 'Tile halt list', [1, 0, 0])
('Cycle: ', 461, 'Tile halt list', [1, 0, 0])
('Cycle: ', 462, 'Tile halt list', [1, 0, 0])
('Cycle: ', 463, 'Tile halt list', [1, 0, 0])
('Cycle: ', 464, 'Tile halt list', [1, 0, 0])
('Cycle: ', 465, 'Tile halt list', [1, 0, 0])
